,open,high,low,close,candlestick_pattern,candlestick_match_count
43,40579.80000000,40668.67000000,40534.54000000,40611.81000000,CDLSPINNINGTOP_Bull,2.0
44,40616.33000000,40631.09000000,40480.19000000,40521.36000000,CDLENGULFING_Bear,1.0
45,40521.35000000,40522.92000000,40400.00000000,40416.39000000,CDL3OUTSIDE_Bear,2.0
46,40416.38000000,40489.53000000,40386.34000000,40467.28000000,NO_PATTERN,0.0
47,40463.77000000,40549.81000000,40463.77000000,40510.95000000,NO_PATTERN,0.0
48,40507.41000000,40598.92000000,40432.64000000,40594.51000000,CDLCLOSINGMARUBOZU_Bull,1.0
49,40596.53000000,40830.92000000,40583.15000000,40731.51000000,CDLBELTHOLD_Bull,1.0
50,40743.66000000,40814.43000000,40658.19000000,40688.22000000,NO_PATTERN,0.0
51,40688.22000000,40688.22000000,40570.55000000,40631.66000000,CDLHAMMER_Bull,2.0
52,40640.97000000,40665.99000000,40600.00000000,40665.99000000,NO_PATTERN,0.0
53,40665.99000000,40727.26000000,40620.00000000,40694.45000000,CDLSPINNINGTOP_Bull,2.0
54,40694.45000000,41194.18000000,40694.44000000,41098.74000000,CDLBELTHOLD_Bull,1.0
55,41098.74000000,41120.08000000,40833.09000000,40882.00000000,NO_PATTERN,0.0
56,40883.56000000,41006.00000000,40850.00000000,40870.94000000,CDLLONGLEGGEDDOJI_Bull,3.0
57,40871.52000000,40911.04000000,40800.00000000,40835.08000000,CDLHIKKAKE_Bull,1.0
58,40835.08000000,40870.78000000,40800.00000000,40839.01000000,CDLRICKSHAWMAN_Bull,5.0
59,40839.01000000,40867.48000000,40800.00000000,40838.20000000,CDLRICKSHAWMAN_Bull,5.0
60,40837.80000000,40837.80000000,40747.87000000,40778.17000000,NO_PATTERN,0.0
61,40778.17000000,40928.98000000,40743.94000000,40832.58000000,NO_PATTERN,0.0
62,40834.64000000,40904.97000000,40820.15000000,40848.30000000,CDLRICKSHAWMAN_Bull,6.0
63,40848.25000000,40965.02000000,40845.73000000,40949.33000000,CDLBELTHOLD_Bull,4.0
64,40943.05000000,40943.06000000,40832.77000000,40844.85000000,CDLCLOSINGMARUBOZU_Bear,3.0
65,40844.85000000,40897.71000000,40814.68000000,40814.98000000,CDLHIKKAKE_Bear,1.0
66,40819.46000000,40916.62000000,40815.72000000,40840.00000000,NO_PATTERN,0.0
67,40840.00000000,40859.68000000,40777.05000000,40794.64000000,NO_PATTERN,0.0
68,40794.65000000,40859.68000000,40794.64000000,40846.69000000,CDLBELTHOLD_Bull,1.0
69,40846.69000000,40894.73000000,40838.62000000,40876.67000000,NO_PATTERN,0.0
70,40876.68000000,40887.79000000,40800.00000000,40800.01000000,CDLCLOSINGMARUBOZU_Bear,2.0
71,40800.00000000,40833.01000000,40670.00000000,40685.67000000,CDL3OUTSIDE_Bear,1.0
72,40685.41000000,40807.01000000,40660.45000000,40730.00000000,NO_PATTERN,0.0
73,40723.20000000,40900.00000000,40716.48000000,40871.49000000,CDLBELTHOLD_Bull,1.0
74,40871.49000000,40916.09000000,40843.67000000,40908.98000000,NO_PATTERN,0.0
75,40908.97000000,40938.64000000,40837.07000000,40842.98000000,CDLCLOSINGMARUBOZU_Bear,1.0
76,40842.97000000,40845.57000000,40734.36000000,40763.82000000,CDLBELTHOLD_Bear,1.0
77,40762.01000000,40836.29000000,40749.69000000,40789.92000000,NO_PATTERN,0.0
78,40789.92000000,40848.83000000,40760.00000000,40837.89000000,CDLHIKKAKE_Bear,1.0
79,40837.89000000,40837.89000000,40701.01000000,40728.90000000,CDLBELTHOLD_Bear,2.0
80,40728.90000000,40774.64000000,40725.26000000,40749.10000000,NO_PATTERN,0.0
81,40749.10000000,40794.00000000,40742.25000000,40794.00000000,CDLHIKKAKE_Bear,1.0
82,40793.99000000,40796.87000000,40741.85000000,40767.81000000,NO_PATTERN,0.0
83,40767.78000000,40812.00000000,40754.33000000,40764.50000000,CDLMATCHINGLOW_Bull,5.0
84,40764.49000000,40857.80000000,40728.69000000,40792.06000000,CDLSPINNINGTOP_Bull,2.0
85,40792.06000000,40936.24000000,40792.06000000,40908.21000000,CDL3OUTSIDE_Bull,2.0
86,40905.42000000,40944.15000000,40867.02000000,40910.59000000,CDLRICKSHAWMAN_Bull,5.0
87,40910.58000000,40913.69000000,40806.01000000,40824.88000000,CDLBELTHOLD_Bear,1.0
88,40824.94000000,40833.32000000,40620.00000000,40663.12000000,CDLBELTHOLD_Bear,1.0
89,40663.11000000,40743.00000000,40575.64000000,40715.12000000,NO_PATTERN,0.0
90,40718.62000000,40853.25000000,40718.26000000,40844.84000000,CDLBELTHOLD_Bull,3.0
91,40843.90000000,40953.75000000,40836.01000000,40945.97000000,CDLBELTHOLD_Bull,3.0
92,40945.96000000,40949.99000000,40866.00000000,40888.98000000,CDLHARAMI_Bear,1.0
93,40888.98000000,40920.25000000,40860.03000000,40863.35000000,CDLHIKKAKE_Bull,1.0
94,40863.35000000,40871.39000000,40800.00000000,40800.76000000,NO_PATTERN,0.0
95,40800.76000000,40906.78000000,40800.00000000,40876.71000000,NO_PATTERN,0.0
96,40876.70000000,41199.00000000,40876.70000000,41018.53000000,CDLBELTHOLD_Bull,2.0
97,41002.57000000,41021.49000000,40891.93000000,40910.47000000,NO_PATTERN,0.0
98,40909.49000000,40935.85000000,40860.76000000,40919.41000000,CDLRICKSHAWMAN_Bull,5.0
99,40919.42000000,41000.00000000,40863.87000000,40882.54000000,CDLENGULFING_Bear,1.0
100,40873.39000000,41097.81000000,40867.79000000,41044.21000000,CDLBELTHOLD_Bull,3.0
101,41044.21000000,41199.99000000,41041.46000000,41129.19000000,CDL3OUTSIDE_Bull,2.0
102,41129.20000000,41134.79000000,41030.62000000,41092.32000000,NO_PATTERN,0.0
103,41092.32000000,41190.70000000,40950.01000000,41019.66000000,NO_PATTERN,0.0
